what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348346045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348349816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348353608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348371173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348378704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348381404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348385367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348386045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348386868
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348392204
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348394737
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362348485502
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348491682
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362348499782
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348519928
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348519995
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362348532223
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348532429
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348532498
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348538822
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348538822
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348539662
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348539662
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362348542928
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348555529
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348559499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348589512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348597588
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348598977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362348601438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362348603629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362348604457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362348617031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362348622178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348631896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348633372
executed,command,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.targetBuildCommand",1362348633382
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348645623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362348653795
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1362348654220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348654543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348658112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348658125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348662309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348727652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348728046
executed,command,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.targetBuildCommand",1362348728060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348730555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348790045
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348792354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348802560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348821617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348823146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348824247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348835389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348836054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348836255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348843445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348847026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348854039
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348862803
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348864485
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348865457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362348868334
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348869042
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348872101
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348876470
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348893931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348899123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349050436
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362349052695
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362349071538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349077091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349106269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349110826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349111742
executed,command,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.targetBuildCommand",1362349111755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349113256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349115976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349116386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349117345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362349120634
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1362349121924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349122233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349125372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349125944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349127661
executed,command,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.targetBuildCommand",1362349127673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349129941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349906753
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362349908964
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362349909742
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362349922935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349935159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349941363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349941953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349947357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349967164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362349998600
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362350000995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350013081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350013798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350014452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350015782
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362350022044
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362350034399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350035735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350069021
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362350075271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350076621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350077256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350079795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350083390
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362350086194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350092602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350093068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350093779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362350094147
