what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362337508357
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362337510790
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362337512218
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362337512283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362337526565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362338451223
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362338452297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362338454189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362338454437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362338955595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362338956706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362338960234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362338960971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362338977810
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362338979324
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362338985800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362338998421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362339009240
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362339009379
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362339012434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362339013377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362339218620
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362339218708
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362339228395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362339229795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362339249906
